date,open,high,low,close,volume
2019-08-16,14.0,14.3,13.84,13.98,423506
2019-08-19,14.45,14.53,13.9,14.06,265154
2019-08-20,14.05,14.7,13.9,14.23,201616
2019-08-21,14.32,14.57,14.01,14.25,108849
2019-08-22,14.93,14.93,14.21,14.72,153790
2019-08-23,14.51,14.95,13.9,14.09,179500
2019-08-26,14.29,14.29,13.64,13.94,155013
2019-08-27,13.95,14.07,13.75,13.86,127513
2019-08-28,13.9,14.13,13.75,13.91,75937
2019-08-29,14.09,14.44,14.01,14.26,97421
2019-08-30,14.29,14.39,14.13,14.3,47918
2019-09-03,14.2,14.99,14.1,14.71,149437
2019-09-04,14.92,15.94,14.61,15.7,309469
2019-09-05,15.9,16.4,15.0,15.0,205967
2019-09-06,15.05,15.14,14.3,14.34,226489
2019-09-09,14.69,14.77,14.16,14.33,137999
2019-09-10,14.19,14.72,14.09,14.58,94769
2019-09-11,14.64,14.95,14.11,14.31,190812
2019-09-12,14.35,14.53,14.15,14.27,54752
2019-09-13,14.28,15.2,14.27,14.7,110178
