date,open,high,low,close,volume
2019-08-16,11.95,12.31,11.88,12.23,84679
2019-08-19,12.26,12.3,12.19,12.25,60337
2019-08-20,12.24,12.25,11.96,12.09,105639
2019-08-21,12.08,12.1,11.96,12.08,71638
2019-08-22,12.08,12.18,12.02,12.16,64781
2019-08-23,12.16,12.3,12.11,12.25,81561
2019-08-26,12.29,12.32,12.12,12.22,57532
2019-08-27,12.13,12.2,12.04,12.04,52876
2019-08-28,11.99,12.09,11.92,12.03,98334
2019-08-29,12.02,12.05,11.92,11.98,84045
2019-08-30,11.97,12.03,11.95,11.98,62926
2019-09-03,11.96,12.07,11.9,12.01,68197
2019-09-04,12.01,12.26,12.01,12.14,101187
2019-09-05,12.14,12.3,12.14,12.27,77227
2019-09-06,12.21,12.29,12.21,12.23,56950
2019-09-09,12.23,12.29,12.21,12.26,74566
2019-09-10,12.21,12.35,12.16,12.3,55110
2019-09-11,12.35,12.44,12.32,12.42,94469
2019-09-12,12.43,12.6,12.4,12.45,134522
2019-09-13,12.55,12.6,12.45,12.48,65904
