date,open,high,low,close,volume
2019-08-16,15.29,15.39,15.13,15.14,199825
2019-08-19,15.19,15.38,15.19,15.36,194008
2019-08-20,15.34,15.41,15.27,15.36,97055
2019-08-21,15.37,15.39,15.22,15.3,149586
2019-08-22,15.35,15.4,15.23,15.29,76900
2019-08-23,15.27,15.32,15.11,15.13,130592
2019-08-26,15.21,15.33,15.16,15.31,92929
2019-08-27,15.39,15.39,15.12,15.13,105674
2019-08-28,15.13,15.15,15.06,15.06,79043
2019-08-29,15.1,15.16,14.93,15.04,122255
2019-08-30,15.1,15.15,14.96,14.99,104350
2019-09-03,14.96,15.17,14.87,15.16,119640
2019-09-04,15.24,15.31,15.12,15.26,136346
2019-09-05,15.33,15.41,15.23,15.29,139491
2019-09-06,15.3,15.33,15.24,15.29,123248
2019-09-09,15.34,15.56,15.31,15.55,209157
2019-09-10,15.54,15.76,15.53,15.55,154364
2019-09-11,15.56,15.67,15.55,15.66,165274
2019-09-12,15.7,15.7,15.56,15.64,170779
2019-09-13,15.64,15.67,15.56,15.63,89120
