date,open,high,low,close,volume
2019-08-16,2.22,2.27,2.19,2.27,594771
2019-08-19,2.27,2.35,2.26,2.33,867788
2019-08-20,2.35,2.35,2.28,2.3,351671
2019-08-21,2.3,2.3,2.23,2.28,640581
2019-08-22,2.29,2.29,2.23,2.25,667288
2019-08-23,2.22,2.27,2.16,2.2,838348
2019-08-26,2.23,2.23,2.1,2.17,854631
2019-08-27,2.22,2.22,2.06,2.1,941469
2019-08-28,2.1,2.19,2.07,2.17,539526
2019-08-29,2.19,2.47,2.18,2.35,1470223
2019-08-30,2.41,2.51,2.3,2.33,955047
2019-09-03,2.3,2.34,2.25,2.3,533210
2019-09-04,2.31,2.35,2.26,2.32,343450
2019-09-05,2.33,2.39,2.31,2.39,637747
2019-09-06,2.39,2.39,2.33,2.35,391855
2019-09-09,2.35,2.44,2.33,2.36,638706
2019-09-10,2.35,2.45,2.34,2.4,908375
2019-09-11,2.42,2.5,2.41,2.48,730755
2019-09-12,2.5,2.51,2.4,2.44,491363
2019-09-13,2.43,2.57,2.36,2.55,941059
