date,open,high,low,close,volume
2019-08-16,0.0,25.04,25.04,25.04,0
2019-08-19,25.16,25.16,25.15,25.15,278
2019-08-20,25.15,25.15,25.12,25.12,238
2019-08-21,0.0,25.29,25.29,25.29,0
2019-08-22,0.0,25.19,25.19,25.19,0
2019-08-23,25.11,25.11,24.85,24.85,401
2019-08-26,25.08,25.08,25.04,25.04,400
2019-08-27,0.0,25.14,25.14,25.14,0
2019-08-28,0.0,25.07,25.07,25.07,0
2019-08-29,0.0,25.3,25.3,25.3,0
2019-08-30,25.44,25.44,25.43,25.43,180
2019-09-03,25.34,25.34,25.33,25.33,354
2019-09-04,0.0,25.69,25.69,25.69,20
2019-09-05,0.0,25.91,25.91,25.91,0
2019-09-06,0.0,26.0,26.0,26.0,0
2019-09-09,26.03,26.03,26.01,26.01,552
2019-09-10,0.0,26.0,26.0,26.0,0
2019-09-11,0.0,26.19,26.19,26.19,0
2019-09-12,0.0,26.32,26.32,26.32,0
2019-09-13,0.0,26.46,26.46,26.46,0
