date,open,high,low,close,volume
2019-08-16,43.92,44.21,43.9,44.16,1183735
2019-08-19,44.59,44.62,44.42,44.45,1730866
2019-08-20,44.41,44.48,44.28,44.3,1022889
2019-08-21,44.77,44.79,44.64,44.7,682215
2019-08-22,44.6,44.65,44.32,44.44,496655
2019-08-23,44.36,44.67,43.85,43.87,1290444
2019-08-26,44.25,44.29,44.05,44.2,932528
2019-08-27,44.38,44.47,44.16,44.2,1483962
2019-08-28,44.07,44.32,43.97,44.22,886387
2019-08-29,44.6,44.69,44.46,44.62,1113492
2019-08-30,44.94,44.97,44.65,44.85,1342558
2019-09-03,44.53,44.7,44.49,44.7,800561
2019-09-04,45.16,45.35,45.16,45.33,1089954
2019-09-05,45.71,45.84,45.67,45.7,732403
2019-09-06,45.82,45.93,45.8,45.83,650840
2019-09-09,45.98,45.99,45.84,45.95,1001246
2019-09-10,45.88,46.06,45.77,45.99,555727
2019-09-11,46.13,46.32,46.11,46.32,484815
2019-09-12,46.37,46.64,46.31,46.59,937901
2019-09-13,46.77,46.9,46.72,46.75,1589291
