date,open,high,low,close,volume
2019-08-16,11.68,11.89,11.66,11.76,108301
2019-08-19,11.8,11.94,11.73,11.92,125641
2019-08-20,12.02,12.07,11.87,12.02,100565
2019-08-21,12.13,12.3,12.06,12.24,113098
2019-08-22,12.37,12.66,12.37,12.63,126333
2019-08-23,12.6,12.68,12.36,12.4,119572
2019-08-26,12.38,12.66,12.37,12.64,110493
2019-08-27,12.75,12.78,12.43,12.47,84808
2019-08-28,12.46,12.79,12.46,12.74,90900
2019-08-29,12.8,12.93,12.69,12.71,34613
2019-08-30,12.79,12.79,12.54,12.62,46267
2019-09-03,12.61,12.63,12.29,12.51,138255
2019-09-04,12.6,12.74,12.41,12.63,94340
2019-09-05,12.71,12.94,12.63,12.77,104454
2019-09-06,12.9,12.95,12.76,12.88,150221
2019-09-09,12.94,13.25,12.88,13.05,172933
2019-09-10,13.02,13.25,12.9,13.23,177235
2019-09-11,13.23,14.49,13.17,14.22,626599
2019-09-12,14.4,14.7,13.95,14.51,273199
2019-09-13,14.65,14.7,14.25,14.5,185553
