date,open,high,low,close,volume
2019-08-16,36.97,37.98,36.86,37.84,3760151
2019-08-19,38.29,38.37,37.75,38.03,2549606
2019-08-20,37.92,38.0,37.41,37.48,2891234
2019-08-21,37.25,37.71,37.24,37.69,3501269
2019-08-22,37.82,38.09,37.68,37.93,2520478
2019-08-23,37.53,37.81,37.22,37.43,7189260
2019-08-26,37.84,37.97,37.64,37.81,5031017
2019-08-27,37.91,38.16,37.4,37.42,4437166
2019-08-28,37.42,37.61,37.09,37.57,2543597
2019-08-29,37.87,37.94,37.45,37.73,2020674
2019-08-30,37.96,38.4,37.92,38.05,2995056
2019-09-03,37.68,38.05,37.37,37.99,2858845
2019-09-04,38.4,38.42,38.09,38.24,1575334
2019-09-05,38.5,39.03,38.44,38.63,2430452
2019-09-06,38.63,38.85,38.45,38.71,1892996
2019-09-09,38.9,39.73,38.77,39.67,2607717
2019-09-10,39.69,40.34,39.69,40.29,3008674
2019-09-11,40.4,41.05,39.78,41.05,2482896
2019-09-12,41.06,41.49,40.68,41.45,3475510
2019-09-13,41.47,42.19,41.39,41.63,3676322
