date,open,high,low,close,volume
2019-08-16,3.9,4.07,3.89,3.95,625822
2019-08-19,4.02,4.11,3.94,4.1,473367
2019-08-20,4.1,4.18,3.96,4.06,553949
2019-08-21,4.1,4.15,3.94,4.06,735167
2019-08-22,4.16,4.2,3.97,4.08,628617
2019-08-23,4.03,4.16,3.99,4.04,515793
2019-08-26,4.07,4.45,4.04,4.35,1084395
2019-08-27,4.4,4.45,4.08,4.18,1013709
2019-08-28,4.18,4.44,4.18,4.32,968989
2019-08-29,4.33,4.45,4.32,4.42,700731
2019-08-30,4.45,4.52,4.37,4.48,631682
2019-09-03,4.45,4.47,4.26,4.3,599452
2019-09-04,4.34,4.39,4.13,4.23,560077
2019-09-05,4.29,4.4,4.19,4.38,777673
2019-09-06,4.4,4.8,4.4,4.7,1232230
2019-09-09,4.7,5.15,4.5,5.04,1415454
2019-09-10,5.06,5.48,5.05,5.22,1371598
2019-09-11,5.26,5.48,5.21,5.39,1042503
2019-09-12,5.41,5.47,5.15,5.22,1087981
2019-09-13,5.22,5.29,5.03,5.1,753845
