date,open,high,low,close,volume
2019-08-16,29.7,29.85,29.7,29.85,1302
2019-08-19,30.06,30.06,30.06,30.06,275
2019-08-20,0.0,0.0,0.0,30.06,42
2019-08-21,30.16,30.16,30.16,30.16,302
2019-08-22,29.89,29.89,29.65,29.65,749
2019-08-23,29.25,29.25,29.25,29.25,818
2019-08-26,0.0,0.0,0.0,29.25,60
2019-08-27,0.0,0.0,0.0,29.25,60
2019-08-28,0.0,0.0,0.0,29.25,36
2019-08-29,29.98,29.99,29.98,29.99,710
2019-08-30,30.07,30.09,30.07,30.09,541
2019-09-03,30.03,30.03,30.03,30.03,196
2019-09-04,30.41,30.42,30.41,30.42,502
2019-09-05,30.75,30.77,30.75,30.77,420
2019-09-06,30.75,30.75,30.71,30.71,649
2019-09-09,30.93,30.93,30.93,30.93,408
2019-09-10,30.97,31.0,30.97,31.0,605
2019-09-11,31.26,31.49,31.26,31.49,502
2019-09-12,31.59,31.59,31.59,31.59,468
2019-09-13,0.0,0.0,0.0,31.59,10
