date,open,high,low,close,volume
2019-08-16,20.34,20.34,20.33,20.33,543
2019-08-19,20.49,20.51,20.49,20.51,557
2019-08-20,20.45,20.45,20.45,20.45,434
2019-08-21,20.63,20.63,20.63,20.63,667
2019-08-22,20.46,20.47,20.41,20.41,1494
2019-08-23,20.37,20.42,20.14,20.14,1420
2019-08-26,20.27,20.34,20.27,20.31,2418
2019-08-27,20.4,20.4,20.35,20.36,702
2019-08-28,20.25,20.42,20.25,20.42,3032
2019-08-29,20.54,20.54,20.52,20.54,3163
2019-08-30,20.65,20.66,20.52,20.52,1166
2019-09-03,20.47,20.58,20.47,20.57,556
2019-09-04,20.82,20.82,20.82,20.82,374
2019-09-05,20.98,20.98,20.89,20.89,2677
2019-09-06,21.02,21.05,20.99,20.99,1483
2019-09-09,20.95,20.95,20.95,20.95,236
2019-09-10,21.13,21.13,21.07,21.07,700
2019-09-11,0.0,0.0,0.0,21.07,68
2019-09-12,21.36,21.36,21.36,21.36,1076
2019-09-13,21.35,21.35,21.35,21.35,3999
