date,open,high,low,close,volume
2019-08-16,69.9,71.18,68.96,71.08,3367096
2019-08-19,71.93,72.28,71.5,71.75,2050446
2019-08-20,71.42,72.26,71.1,71.12,2171244
2019-08-21,71.96,72.33,71.19,72.2,1897423
2019-08-22,72.45,72.77,71.25,71.74,1643997
2019-08-23,71.5,71.67,69.25,69.55,2990027
2019-08-26,70.11,70.63,68.79,69.64,1827254
2019-08-27,70.05,70.33,69.11,69.48,2032338
2019-08-28,69.26,70.26,68.8,69.94,1673981
2019-08-29,70.81,71.29,70.48,70.7,1611155
2019-08-30,71.45,72.45,70.82,71.11,2356396
2019-09-03,70.7,71.04,69.48,70.41,2227812
2019-09-04,70.94,71.22,69.96,70.86,1820588
2019-09-05,71.64,73.71,71.64,73.52,2997855
2019-09-06,73.69,74.37,73.69,74.28,3117566
2019-09-09,74.39,74.59,73.67,74.18,2997015
2019-09-10,73.5,75.03,73.29,74.77,2838038
2019-09-11,75.07,77.01,75.06,76.99,2805546
2019-09-12,77.01,78.09,76.71,77.57,4009762
2019-09-13,77.59,78.05,77.18,77.9,2673363
