date,open,high,low,close,volume
2019-08-16,0.65,0.6634,0.55,0.6,385054
2019-08-19,0.62,0.6701,0.603,0.65,286086
2019-08-20,0.6453,0.6697,0.6116,0.65,108789
2019-08-21,0.65,0.67,0.6034,0.6265,152996
2019-08-22,0.632,0.65,0.5652,0.63,258172
2019-08-23,0.6,0.62,0.563,0.59,182965
2019-08-26,0.5731,0.6,0.55,0.5952,132287
2019-08-27,0.5955,0.6,0.5203,0.555,180036
2019-08-28,0.5899,0.6,0.53,0.5896,294022
2019-08-29,0.61,0.7799,0.61,0.6855,705187
2019-08-30,0.65,0.67,0.53,0.6,495130
2019-09-03,0.62,0.64,0.52,0.535,339306
2019-09-04,0.5445,0.6199,0.5445,0.5967,251407
2019-09-05,0.5613,0.62,0.5613,0.565,79926
2019-09-06,0.53,0.61,0.525,0.5905,99712
2019-09-09,0.5896,0.75,0.5732,0.59,572087
2019-09-10,0.59,0.74,0.59,0.6905,529321
2019-09-11,0.69,0.8487,0.6301,0.82,454088
2019-09-12,0.8079,0.83,0.75,0.7756,80650
2019-09-13,0.7692,0.7999,0.73,0.765,86834
