date,open,high,low,close,volume
2019-08-16,25.62,26.05,25.39,25.79,8886360
2019-08-19,26.2,26.69,26.08,26.1,9035421
2019-08-20,26.08,26.08,25.56,25.83,7660120
2019-08-21,26.06,26.59,26.01,26.42,6227560
2019-08-22,26.46,26.98,26.33,26.53,5958588
2019-08-23,26.27,26.51,25.35,25.42,8910561
2019-08-26,25.9,25.91,25.03,25.19,6728216
2019-08-27,25.27,25.34,24.32,24.45,7504544
2019-08-28,24.41,25.51,24.23,25.33,9080597
2019-08-29,25.79,26.61,25.7,26.32,7210512
2019-08-30,26.4,26.83,26.16,26.31,5076364
2019-09-03,26.16,26.66,25.95,26.51,6732810
2019-09-04,26.66,27.22,26.52,27.0,5657456
2019-09-05,27.45,28.11,27.44,27.69,6256918
2019-09-06,28.16,28.23,27.73,27.79,5791863
2019-09-09,27.79,28.75,27.71,28.44,8561601
2019-09-10,28.28,29.18,28.2,29.12,6377312
2019-09-11,29.16,29.93,28.72,29.76,10842616
2019-09-12,29.67,30.22,29.64,29.94,5808790
2019-09-13,30.2,30.34,29.87,29.95,7131918
