date,open,high,low,close,volume
2019-08-16,8.99,9.42,8.97,9.24,480354
2019-08-19,9.45,9.6,9.25,9.53,360350
2019-08-20,9.52,9.72,9.34,9.67,227978
2019-08-21,9.73,9.77,9.54,9.66,231650
2019-08-22,9.65,9.8,9.35,9.39,256088
2019-08-23,9.31,9.31,8.79,9.12,664174
2019-08-26,9.25,9.42,9.05,9.12,489863
2019-08-27,9.16,9.18,8.42,8.5,901631
2019-08-28,8.49,8.73,8.34,8.67,497315
2019-08-29,8.71,9.11,8.71,8.92,394210
2019-08-30,8.98,9.04,8.76,8.9,238232
2019-09-03,8.77,8.99,8.64,8.74,520464
2019-09-04,8.86,9.39,8.85,9.1,550710
2019-09-05,9.26,9.82,9.26,9.79,687337
2019-09-06,9.8,10.3,9.75,10.3,697392
2019-09-09,10.38,10.85,10.29,10.58,771817
2019-09-10,10.51,11.6,10.51,11.44,935825
2019-09-11,11.5,11.68,11.02,11.54,887207
2019-09-12,11.5,11.6,10.97,11.06,552638
2019-09-13,11.09,11.3,11.05,11.17,281668
