date,open,high,low,close,volume
2019-08-16,137.73,139.69,136.42,136.59,1277824
2019-08-19,138.0,138.25,135.22,136.35,1287800
2019-08-20,136.44,137.85,135.3,135.38,997286
2019-08-21,136.56,136.75,134.7,136.23,1344670
2019-08-22,136.65,138.55,136.08,137.5,1306672
2019-08-23,136.57,138.19,134.45,135.05,1087959
2019-08-26,135.62,135.7,132.89,135.0,900991
2019-08-27,135.82,137.13,134.87,134.89,746835
2019-08-28,134.3,137.56,133.3,136.76,1800705
2019-08-29,138.04,140.74,137.78,138.07,1203813
2019-08-30,138.7,139.82,137.45,137.95,721325
2019-09-03,137.19,140.43,136.77,140.36,1002515
2019-09-04,141.57,142.31,138.51,141.89,1235234
2019-09-05,143.08,147.12,143.07,146.55,770610
2019-09-06,146.89,147.66,146.32,147.21,818158
2019-09-09,147.4,147.81,145.57,147.43,1039922
2019-09-10,147.37,155.38,146.79,154.7,1403209
2019-09-11,154.96,158.89,154.68,158.86,1180096
2019-09-12,160.0,160.15,155.08,155.2,1163436
2019-09-13,159.1,159.32,154.85,157.0,996697
