date,open,high,low,close,volume
2019-08-16,204.28,207.16,203.84,206.5,28813624
2019-08-19,210.62,212.73,210.02,210.35,24431915
2019-08-20,210.88,213.35,210.32,210.36,26919529
2019-08-21,212.99,213.65,211.6,212.64,21564747
2019-08-22,213.19,214.43,210.75,212.46,22267819
2019-08-23,209.43,212.05,201.0,202.64,46882843
2019-08-26,205.86,207.19,205.05,206.49,26066130
2019-08-27,207.86,208.55,203.53,204.16,25897344
2019-08-28,204.1,205.72,203.32,205.53,15957632
2019-08-29,208.5,209.32,206.65,209.01,21007652
2019-08-30,210.16,210.45,207.2,208.74,21162561
2019-09-03,206.43,206.98,204.22,205.7,20059574
2019-09-04,208.39,209.48,207.32,209.19,19216820
2019-09-05,212.0,213.97,211.51,213.28,23946984
2019-09-06,214.05,214.42,212.51,213.26,19362294
2019-09-09,214.84,216.44,211.07,214.17,27309401
2019-09-10,213.86,216.78,211.71,216.7,31777931
2019-09-11,218.07,223.71,217.73,223.59,44289646
2019-09-12,224.8,226.42,222.86,223.08,32226669
2019-09-13,220.0,220.79,217.02,218.75,39763296
