date,open,high,low,close,volume
2019-08-16,46.57,47.15,46.45,47.06,158542
2019-08-19,47.29,47.33,47.04,47.28,182643
2019-08-20,47.44,47.44,46.8,46.9,223856
2019-08-21,47.11,47.25,46.8,46.92,338855
2019-08-22,46.9,47.27,46.59,47.22,134030
2019-08-23,47.19,47.48,46.24,46.37,218775
2019-08-26,46.71,46.71,46.05,46.44,257188
2019-08-27,46.78,46.87,46.11,46.18,219740
2019-08-28,46.18,46.59,46.06,46.4,193098
2019-08-29,46.64,46.99,46.42,46.78,156948
2019-08-30,46.8,47.0,46.49,46.86,169967
2019-09-03,46.82,47.31,46.74,47.16,178392
2019-09-04,47.33,47.66,47.24,47.54,247868
2019-09-05,47.67,47.89,47.26,47.53,498908
2019-09-06,47.64,48.16,47.43,47.77,393114
2019-09-09,47.77,48.12,47.39,47.96,524158
2019-09-10,47.77,48.18,47.09,47.43,803555
2019-09-11,47.08,47.28,46.48,46.81,917745
2019-09-12,46.8,47.2,46.54,47.14,825640
2019-09-13,47.0,47.88,46.34,46.88,554265
