date,open,high,low,close,volume
2019-08-16,0.81,0.819,0.74,0.7401,222958
2019-08-19,0.732,0.755,0.7,0.71,288941
2019-08-20,0.74,0.75,0.7001,0.75,153941
2019-08-21,0.75,0.7899,0.7489,0.7703,190309
2019-08-22,0.77,0.785,0.7452,0.7797,166939
2019-08-23,0.78,0.7843,0.755,0.7648,230247
2019-08-26,0.765,0.784,0.7212,0.7234,380759
2019-08-27,0.72,0.78,0.7051,0.76,453919
2019-08-28,0.76,0.78,0.76,0.7788,215530
2019-08-29,0.78,0.7804,0.705,0.71,445512
2019-08-30,0.71,0.7441,0.71,0.744,194727
2019-09-03,0.77,0.7709,0.7422,0.7443,171700
2019-09-04,0.77,0.77,0.72,0.7277,170163
2019-09-05,0.72,0.7301,0.64,0.6701,704913
2019-09-06,0.68,0.68,0.65,0.6603,180575
2019-09-09,0.66,0.6661,0.6259,0.6353,339922
2019-09-10,0.66,0.71,0.652,0.6936,318301
2019-09-11,0.7,0.738,0.69,0.73,388195
2019-09-12,0.72,0.75,0.71,0.71,180317
2019-09-13,0.73,0.73,0.708,0.7124,150660
