date,open,high,low,close,volume
2019-08-16,26.5,27.21,26.39,27.03,158947
2019-08-19,27.03,27.61,27.03,27.36,247987
2019-08-20,27.4,27.82,27.18,27.5,197326
2019-08-21,27.75,28.31,27.75,28.02,227144
2019-08-22,28.39,28.49,28.2,28.45,258358
2019-08-23,28.33,28.83,27.63,27.71,234111
2019-08-26,27.99,28.27,27.88,28.11,152258
2019-08-27,28.1,28.42,27.8,28.2,184979
2019-08-28,28.25,28.6,28.07,28.38,199420
2019-08-29,28.54,28.71,28.43,28.59,113297
2019-08-30,28.72,28.83,28.23,28.28,134842
2019-09-03,28.02,28.29,27.81,28.2,124375
2019-09-04,28.61,28.8,28.36,28.6,156953
2019-09-05,28.87,29.2,28.81,29.05,187357
2019-09-06,29.0,29.19,28.64,28.79,151049
2019-09-09,28.96,29.4,28.91,29.4,116975
2019-09-10,29.4,29.61,29.04,29.25,148200
2019-09-11,28.99,29.83,28.91,29.75,225296
2019-09-12,29.75,30.1,29.52,29.98,391236
2019-09-13,30.08,30.15,29.17,29.56,309237
