date,open,high,low,close,volume
2019-08-16,18.36,18.52,18.36,18.47,1564598
2019-08-19,18.69,18.71,18.59,18.63,1292521
2019-08-20,18.63,18.63,18.48,18.49,1043391
2019-08-21,18.76,18.79,18.63,18.63,1221381
2019-08-22,18.73,18.75,18.55,18.64,764831
2019-08-23,18.6,18.74,18.37,18.42,1587841
2019-08-26,18.51,18.53,18.39,18.46,1433824
2019-08-27,18.52,18.57,18.39,18.43,1137182
2019-08-28,18.23,18.52,18.2,18.48,1462021
2019-08-29,18.75,18.86,18.72,18.82,1868022
2019-08-30,19.01,19.1,18.95,19.02,1116323
2019-09-03,18.85,18.86,18.68,18.71,1355540
2019-09-04,18.85,18.98,18.81,18.96,1901448
2019-09-05,19.31,19.37,19.27,19.34,1654432
2019-09-06,19.37,19.49,19.33,19.46,1046686
2019-09-09,19.61,19.72,19.55,19.7,1703339
2019-09-10,19.92,20.05,19.85,20.04,1586643
2019-09-11,20.13,20.29,20.09,20.28,1329278
2019-09-12,20.21,20.33,20.15,20.23,2353933
2019-09-13,20.44,20.49,20.35,20.36,1345479
