date,open,high,low,close,volume
2019-08-16,86.15,87.9,86.0,87.34,820633
2019-08-19,88.21,88.97,87.63,87.75,903951
2019-08-20,88.04,88.6,86.22,86.3,1017766
2019-08-21,86.44,87.58,86.23,86.32,1033242
2019-08-22,86.56,87.12,85.33,85.55,1008277
2019-08-23,85.46,86.4,83.09,83.54,1177843
2019-08-26,84.41,85.92,84.1,85.9,1183862
2019-08-27,85.94,86.58,81.2,81.28,1848260
2019-08-28,81.03,82.03,80.41,81.01,1927453
2019-08-29,81.83,82.77,81.13,81.91,1190929
2019-08-30,82.3,82.49,81.6,82.27,1092038
2019-09-03,81.87,84.5,81.55,84.04,1614062
2019-09-04,84.36,85.45,84.34,85.18,853204
2019-09-05,86.29,87.17,85.79,86.04,935491
2019-09-06,86.12,86.61,85.56,86.32,963890
2019-09-09,86.31,87.57,86.16,87.13,1231473
2019-09-10,86.46,86.82,84.23,85.88,1895194
2019-09-11,86.05,88.46,85.33,87.79,1026147
2019-09-12,87.88,88.23,84.52,84.64,1118851
2019-09-13,85.19,86.32,82.95,83.42,1262190
