date,open,high,low,close,volume
2019-08-16,35.47,36.5,35.42,36.43,447956
2019-08-19,37.04,37.14,36.65,36.84,245023
2019-08-20,36.55,36.81,36.3,36.6,211885
2019-08-21,36.94,36.97,36.59,36.62,313127
2019-08-22,36.92,37.07,36.43,36.7,166093
2019-08-23,36.38,36.95,34.86,35.0,388800
2019-08-26,35.33,35.55,34.68,35.31,293521
2019-08-27,35.53,35.53,33.95,34.16,281417
2019-08-28,34.09,35.04,34.09,34.76,247490
2019-08-29,35.07,35.57,34.84,35.39,199732
2019-08-30,35.51,36.06,35.0,35.19,173259
2019-09-03,34.71,34.83,33.71,33.96,330082
2019-09-04,34.23,34.46,33.97,34.15,227491
2019-09-05,34.71,35.62,34.57,35.22,341665
2019-09-06,35.27,35.49,35.0,35.17,279339
2019-09-09,35.23,35.89,34.67,35.59,541878
2019-09-10,35.78,36.87,35.73,36.83,402033
2019-09-11,36.85,37.76,36.39,37.72,518709
2019-09-12,37.48,38.81,37.21,38.67,584888
2019-09-13,39.05,39.86,38.71,39.42,582353
