date,open,high,low,close,volume
2019-08-16,5.6,6.29,5.38,5.64,231079
2019-08-19,5.63,5.69,5.25,5.25,55663
2019-08-20,5.28,5.31,4.89,4.95,89421
2019-08-21,5.09,5.38,4.96,5.35,102655
2019-08-22,5.35,5.89,5.06,5.84,156417
2019-08-23,5.82,5.88,5.36,5.49,90150
2019-08-26,5.4,5.66,5.25,5.59,30614
2019-08-27,5.52,5.52,5.23,5.3,24016
2019-08-28,5.31,5.46,5.15,5.22,24858
2019-08-29,5.37,5.74,5.32,5.67,62459
2019-08-30,5.58,5.82,5.39,5.62,32407
2019-09-03,5.5,5.8,5.2,5.26,40381
2019-09-04,5.3,5.53,5.23,5.35,16915
2019-09-05,5.35,5.43,5.19,5.22,39559
2019-09-06,5.2,5.44,5.2,5.36,17342
2019-09-09,5.28,5.65,5.23,5.57,37974
2019-09-10,5.58,5.79,5.41,5.7,63568
2019-09-11,7.0,7.43,6.16,6.45,2259757
2019-09-12,6.06,6.3,5.81,6.18,180745
2019-09-13,6.14,6.29,5.95,6.08,44398
