date,open,high,low,close,volume
2019-08-16,192.64,194.47,191.84,193.01,488911
2019-08-19,195.0,195.0,190.22,192.31,469561
2019-08-20,192.97,200.43,192.17,192.63,478780
2019-08-21,192.86,197.67,192.86,195.84,439688
2019-08-22,197.3,200.0,194.8,195.44,373989
2019-08-23,194.6,195.65,188.67,189.59,478153
2019-08-26,190.81,193.24,188.05,190.44,358577
2019-08-27,191.46,193.04,188.86,190.06,355181
2019-08-28,189.88,194.22,189.3,191.2,525775
2019-08-29,192.0,194.37,190.0,192.01,409282
2019-08-30,193.5,194.35,191.34,193.07,397103
2019-09-03,192.08,192.47,182.05,183.64,647246
2019-09-04,185.84,186.98,180.0,183.38,458245
2019-09-05,185.07,191.02,182.82,190.25,403144
2019-09-06,191.0,192.38,188.35,189.43,271103
2019-09-09,190.16,190.16,183.08,186.81,429444
2019-09-10,186.0,192.98,185.22,191.82,646952
2019-09-11,191.96,192.98,187.59,191.07,484850
2019-09-12,191.58,193.53,183.9,188.02,506753
2019-09-13,188.18,190.59,186.27,186.41,509537
