date,open,high,low,close,volume
2019-08-16,12.11,12.22,12.11,12.21,927005
2019-08-19,12.27,12.35,12.25,12.32,624627
2019-08-20,12.32,12.32,12.17,12.23,604339
2019-08-21,12.57,12.6,12.45,12.54,1732733
2019-08-22,12.57,12.62,12.47,12.62,1000959
2019-08-23,12.58,12.62,12.45,12.48,754249
2019-08-26,12.55,12.6,12.47,12.6,618397
2019-08-27,12.58,12.61,12.39,12.45,900705
2019-08-28,12.43,12.53,12.38,12.49,675832
2019-08-29,12.5,12.58,12.41,12.55,616812
2019-08-30,12.62,12.64,12.41,12.55,1270364
2019-09-03,12.57,12.57,12.42,12.44,681035
2019-09-04,12.47,12.61,12.47,12.56,674320
2019-09-05,12.6,12.61,12.49,12.56,515878
2019-09-06,12.61,12.61,12.35,12.35,1426516
2019-09-09,12.39,12.52,12.39,12.46,1345472
2019-09-10,12.52,12.64,12.47,12.6,1046003
2019-09-11,12.63,12.77,12.6,12.77,911087
2019-09-12,12.8,12.84,12.74,12.77,836303
2019-09-13,12.78,12.9,12.76,12.84,826188
