date,open,high,low,close,volume
2019-08-16,1.45,1.54,1.45,1.5,141526
2019-08-19,1.5,1.65,1.45,1.47,158939
2019-08-20,1.5,1.5,1.41,1.46,90223
2019-08-21,1.47,1.51,1.43,1.48,100501
2019-08-22,1.49,1.5,1.43,1.46,144899
2019-08-23,1.43,1.49,1.38,1.38,212355
2019-08-26,1.4,1.4,1.31,1.36,222977
2019-08-27,1.36,1.45,1.29,1.34,159429
2019-08-28,1.33,1.39,1.31,1.35,117068
2019-08-29,1.36,1.4,1.3,1.4,256621
2019-08-30,1.4,1.44,1.35,1.37,156111
2019-09-03,1.34,1.45,1.29,1.44,208367
2019-09-04,1.46,1.48,1.41,1.45,119606
2019-09-05,1.5,1.55,1.44,1.55,166129
2019-09-06,1.57,1.59,1.51,1.56,105235
2019-09-09,1.55,1.59,1.51,1.57,117264
2019-09-10,1.56,1.86,1.56,1.8,367421
2019-09-11,1.82,1.85,1.78,1.82,192585
2019-09-12,1.84,1.89,1.64,1.64,171285
2019-09-13,1.66,1.72,1.6,1.67,125302
