date,open,high,low,close,volume
2019-08-16,46.95,47.51,46.95,47.19,520251
2019-08-19,47.27,47.61,47.05,47.25,527403
2019-08-20,47.39,47.4,46.71,46.74,377457
2019-08-21,46.81,47.24,46.57,46.89,749075
2019-08-22,46.94,47.46,46.76,47.41,983496
2019-08-23,47.33,47.65,46.43,46.56,403880
2019-08-26,46.85,47.09,46.25,46.63,514458
2019-08-27,46.84,47.15,45.98,46.04,612622
2019-08-28,46.03,46.32,45.95,46.16,519767
2019-08-29,46.27,46.66,46.13,46.53,571155
2019-08-30,46.59,46.77,46.33,46.48,604171
2019-09-03,46.54,47.09,46.39,46.7,740454
2019-09-04,46.93,47.43,46.81,47.38,745468
2019-09-05,47.32,47.41,46.8,47.18,563775
2019-09-06,47.31,47.48,47.05,47.36,535537
2019-09-09,47.31,47.48,47.05,47.47,558635
2019-09-10,47.34,47.34,45.58,46.47,595292
2019-09-11,46.32,46.94,45.93,46.93,811170
2019-09-12,47.35,47.48,46.82,47.29,611457
2019-09-13,47.2,47.43,47.04,47.3,1136447
