date,open,high,low,close,volume
2019-08-16,25.89,25.94,25.74,25.82,15437
2019-08-19,25.82,25.92,25.67,25.68,41413
2019-08-20,25.75,25.91,25.75,25.81,10957
2019-08-21,25.89,25.92,25.83,25.87,12601
2019-08-22,25.9,25.99,25.9,25.96,10671
2019-08-23,25.98,25.99,25.84,25.85,36960
2019-08-26,25.84,25.89,25.7,25.71,34693
2019-08-27,25.74,25.82,25.71,25.73,23598
2019-08-28,25.8,25.87,25.76,25.77,10638
2019-08-29,25.8,25.84,25.58,25.58,24895
2019-08-30,25.74,25.74,25.35,25.35,133146
2019-09-03,25.45,25.54,25.4,25.54,44801
2019-09-04,25.58,25.75,25.58,25.75,46490
2019-09-05,25.75,25.83,25.69,25.8,42886
2019-09-06,25.84,25.93,25.81,25.93,15195
2019-09-09,25.94,25.96,25.81,25.85,30342
2019-09-10,25.97,25.97,25.8,25.85,29748
2019-09-11,25.94,25.94,25.81,25.94,25497
2019-09-12,25.71,25.71,25.61,25.65,18688
2019-09-13,25.65,25.66,25.3,25.4,26425
