date,open,high,low,close,volume
2019-08-16,4.75,4.85,4.71,4.77,1028501
2019-08-19,4.86,4.91,4.56,4.65,946382
2019-08-20,4.63,4.67,4.52,4.6,1075907
2019-08-21,4.62,4.75,4.58,4.74,881824
2019-08-22,4.77,4.77,4.55,4.57,1761067
2019-08-23,4.69,4.69,4.21,4.26,1711399
2019-08-26,4.24,4.48,4.2,4.47,1232294
2019-08-27,4.5,4.54,4.23,4.3,707615
2019-08-28,4.29,4.51,4.25,4.47,788898
2019-08-29,4.52,4.59,4.42,4.46,953879
2019-08-30,4.48,4.49,4.29,4.35,389862
2019-09-03,4.29,4.39,4.19,4.31,847042
2019-09-04,4.35,4.35,4.14,4.22,776771
2019-09-05,4.27,4.41,4.2,4.35,720345
2019-09-06,4.38,4.43,4.25,4.28,655121
2019-09-09,4.42,4.42,4.11,4.14,633345
2019-09-10,4.12,4.17,3.96,4.16,1054962
2019-09-11,4.19,4.25,4.07,4.1,1141850
2019-09-12,4.08,4.11,3.97,3.99,795939
2019-09-13,3.97,4.02,3.81,3.93,1002550
