date,open,high,low,close,volume
2019-08-16,28.97,29.5,28.91,29.39,683085
2019-08-19,29.73,29.87,29.37,29.55,607282
2019-08-20,29.32,29.38,28.79,28.95,755937
2019-08-21,29.24,29.45,28.96,29.27,596020
2019-08-22,29.32,29.58,29.1,29.42,758613
2019-08-23,29.3,29.67,28.41,28.5,957043
2019-08-26,28.89,28.89,28.1,28.54,729527
2019-08-27,28.86,28.86,28.5,28.6,933457
2019-08-28,28.55,29.08,28.32,28.99,640595
2019-08-29,29.27,29.71,29.27,29.62,591323
2019-08-30,29.63,29.8,29.43,29.78,702021
2019-09-03,29.47,29.7,28.63,28.76,1364256
2019-09-04,29.07,29.4,28.67,29.28,1405176
2019-09-05,29.79,30.81,29.55,30.67,716902
2019-09-06,30.63,31.14,30.31,30.99,836926
2019-09-09,31.06,31.59,30.87,31.3,1556871
2019-09-10,31.19,31.25,30.43,30.78,903546
2019-09-11,30.95,31.99,30.53,31.96,835633
2019-09-12,32.7,33.06,31.99,32.9,1111444
2019-09-13,33.04,33.38,32.55,32.78,991438
