date,open,high,low,close,volume
2019-08-16,191.12,193.66,190.47,193.22,2526872
2019-08-19,195.0,196.29,194.52,195.18,1891034
2019-08-20,195.11,195.98,193.12,194.2,1423474
2019-08-21,195.69,196.84,195.07,195.73,1044737
2019-08-22,196.46,196.97,194.27,196.34,1160851
2019-08-23,195.0,197.92,191.57,192.81,2290363
2019-08-26,194.34,195.47,193.47,195.47,1642518
2019-08-27,196.02,197.4,195.24,197.16,1632696
2019-08-28,196.89,197.53,194.57,196.84,1326231
2019-08-29,198.0,199.91,197.43,198.74,1494242
2019-08-30,200.0,200.68,196.77,198.17,2176628
2019-09-03,196.36,197.76,195.44,195.75,1696454
2019-09-04,197.83,198.36,197.37,197.71,1250656
2019-09-05,199.8,199.8,198.45,199.49,2216109
2019-09-06,200.0,202.8,199.04,201.12,2184065
2019-09-09,200.97,201.12,192.84,194.83,2702837
2019-09-10,192.98,193.54,187.89,189.66,3630960
2019-09-11,190.0,192.47,189.24,191.37,2430280
2019-09-12,194.7,196.23,191.93,195.52,2122176
2019-09-13,196.0,196.0,193.96,194.62,1592554
