date,open,high,low,close,volume
2019-08-16,33.0,33.05,32.86,33.05,1351
2019-08-19,33.4,33.5,33.4,33.41,2093
2019-08-20,33.14,33.19,33.09,33.09,1034
2019-08-21,33.29,33.31,33.28,33.31,1083
2019-08-22,33.46,33.46,33.18,33.39,777
2019-08-23,33.12,33.3,32.42,32.42,1364
2019-08-26,32.77,32.82,32.74,32.82,1305
2019-08-27,33.03,33.03,32.64,32.64,558
2019-08-28,32.68,32.92,32.68,32.92,480
2019-08-29,33.26,33.33,33.26,33.33,420
2019-08-30,33.51,33.51,33.26,33.33,698
2019-09-03,33.1,33.15,33.03,33.15,1137
2019-09-04,33.37,33.45,33.3,33.45,1641
2019-09-05,33.7,33.9,33.7,33.82,1994
2019-09-06,33.95,33.95,33.83,33.83,8851
2019-09-09,34.08,34.11,33.9,34.11,969
2019-09-10,33.99,34.25,33.99,34.25,840
2019-09-11,34.26,34.62,34.26,34.62,642
2019-09-12,34.57,34.69,34.57,34.6,881
2019-09-13,34.78,34.78,34.63,34.63,556
