date,open,high,low,close,volume
2019-08-16,23.79,24.22,23.79,24.22,3245
2019-08-19,24.35,24.49,24.35,24.43,1084
2019-08-20,24.3,24.32,24.3,24.32,860
2019-08-21,24.52,24.52,24.46,24.47,813
2019-08-22,24.57,24.62,24.43,24.62,1593
2019-08-23,24.72,24.72,23.92,23.92,3085
2019-08-26,24.13,24.14,24.02,24.07,1917
2019-08-27,24.38,24.38,23.75,23.75,3113
2019-08-28,23.81,23.9,23.66,23.88,2327
2019-08-29,24.01,24.09,24.01,24.09,2493
2019-08-30,24.14,24.14,24.01,24.01,1162
2019-09-03,23.88,23.88,23.85,23.85,428
2019-09-04,24.01,24.01,23.93,23.93,654
2019-09-05,24.18,24.18,24.07,24.13,1005
2019-09-06,24.08,24.25,24.08,24.21,1150
2019-09-09,24.23,24.23,24.12,24.18,10303
2019-09-10,24.03,24.06,24.0,24.06,1664
2019-09-11,24.2,24.26,24.2,24.26,1155
2019-09-12,24.05,24.34,24.05,24.34,1672
2019-09-13,24.28,24.28,24.14,24.16,1213
