date,open,high,low,close,volume
2019-08-16,20.46,20.85,19.84,20.62,14996
2019-08-19,20.31,21.38,20.25,21.36,18365
2019-08-20,21.26,21.5,20.98,21.11,6760
2019-08-21,20.83,21.47,20.4,21.47,1307
2019-08-22,21.47,21.47,20.9,20.9,4843
2019-08-23,20.6,20.7,20.2,20.69,4109
2019-08-26,20.9,20.99,20.29,20.77,11543
2019-08-27,20.81,20.82,20.55,20.82,9414
2019-08-28,20.65,20.8,20.65,20.7,977
2019-08-29,21.0,21.12,20.49,20.96,6799
2019-08-30,20.82,20.82,20.29,20.29,3587
2019-09-03,19.54,20.07,19.29,19.33,7549
2019-09-04,19.58,19.9,19.02,19.66,16441
2019-09-05,19.66,20.18,19.56,19.91,14970
2019-09-06,20.07,20.5,19.8,20.43,12637
2019-09-09,20.47,21.0,20.33,20.9,8500
2019-09-10,20.53,20.87,20.53,20.76,8847
2019-09-11,20.41,21.1,20.41,20.9,14471
2019-09-12,20.91,20.91,20.55,20.84,841
2019-09-13,20.66,20.98,20.23,20.7,2108
