date,open,high,low,close,volume
2019-08-16,23.45,23.63,23.45,23.56,39439
2019-08-19,23.8,24.02,23.72,23.82,36410
2019-08-20,23.9,24.15,23.73,24.04,35063
2019-08-21,24.2,24.52,24.2,24.42,53287
2019-08-22,24.61,24.62,24.27,24.27,29091
2019-08-23,24.26,24.42,24.01,24.05,31369
2019-08-26,24.18,24.3,23.74,24.0,70904
2019-08-27,24.03,24.12,23.51,23.51,56430
2019-08-28,23.51,23.6,23.16,23.21,72846
2019-08-29,23.37,23.77,23.37,23.44,45509
2019-08-30,23.44,23.65,23.13,23.2,47121
2019-09-03,23.03,23.44,22.85,23.44,55622
2019-09-04,23.45,23.69,23.45,23.66,30942
2019-09-05,23.72,23.75,23.59,23.64,39620
2019-09-06,23.43,23.64,23.29,23.54,44483
2019-09-09,23.54,23.74,23.46,23.7,29597
2019-09-10,23.74,23.77,23.28,23.5,46146
2019-09-11,23.5,23.64,23.4,23.58,24235
2019-09-12,23.63,23.63,23.42,23.46,20514
2019-09-13,23.56,23.84,23.43,23.47,17171
