date,open,high,low,close,volume
2019-08-16,92.3,92.78,92.29,92.67,190843
2019-08-19,93.25,93.3,92.93,93.08,204804
2019-08-20,93.14,93.21,92.7,92.77,226081
2019-08-21,93.27,93.27,93.04,93.13,83152
2019-08-22,93.19,93.27,92.64,93.05,201458
2019-08-23,93.01,93.49,91.87,92.09,160956
2019-08-26,92.65,92.81,92.26,92.81,131663
2019-08-27,93.04,93.31,92.81,92.88,211273
2019-08-28,92.78,93.13,92.51,93.07,441463
2019-08-29,93.6,93.68,93.22,93.66,261818
2019-08-30,93.9,93.99,93.24,93.61,163567
2019-09-03,93.18,93.71,92.92,93.64,325742
2019-09-04,94.33,94.56,94.1,94.56,220189
2019-09-05,94.94,94.94,94.35,94.36,581606
2019-09-06,94.6,94.77,94.51,94.59,194529
2019-09-09,94.8,94.82,94.03,94.08,118325
2019-09-10,93.87,93.87,93.23,93.5,252475
2019-09-11,93.74,93.95,93.58,93.89,196526
2019-09-12,94.28,94.62,94.21,94.23,399840
2019-09-13,94.5,94.5,93.96,94.06,89848
