date,open,high,low,close,volume
2019-08-16,6.38,7.06,6.38,6.91,9123
2019-08-19,6.9,7.3,6.34,7.1,44981
2019-08-20,6.94,6.97,6.86,6.93,971
2019-08-21,7.03,7.05,7.01,7.04,1987
2019-08-22,6.83,6.83,6.83,6.83,401
2019-08-23,6.79,6.86,6.68,6.73,1350
2019-08-26,6.7,6.92,6.47,6.5,16328
2019-08-27,6.4,6.61,6.38,6.6,6454
2019-08-28,6.66,6.66,6.5,6.5,1396
2019-08-29,0.0,0.0,0.0,6.5,280
2019-08-30,6.36,6.36,6.36,6.36,334
2019-09-03,6.7,6.7,6.7,6.7,568
2019-09-04,6.36,6.52,6.29,6.31,4649
2019-09-05,6.35,6.55,6.35,6.4,1774
2019-09-06,6.27,6.87,6.27,6.87,1322
2019-09-09,6.36,6.36,6.36,6.36,577
2019-09-10,6.74,6.81,6.74,6.81,1009
2019-09-11,6.86,6.87,6.82,6.87,5807
2019-09-12,0.0,0.0,0.0,6.87,8
2019-09-13,0.0,0.0,0.0,6.87,0
