date,open,high,low,close,volume
2019-08-16,285.58,290.15,283.32,287.45,1981029
2019-08-19,291.32,291.77,287.17,287.97,1956105
2019-08-20,287.97,288.66,285.4,285.71,1491067
2019-08-21,288.54,292.92,286.51,291.53,1520460
2019-08-22,292.57,292.9,285.12,287.69,1745838
2019-08-23,289.23,293.57,280.97,282.44,2852522
2019-08-26,284.86,288.89,283.51,288.74,1792971
2019-08-27,290.66,291.85,286.53,289.45,1793394
2019-08-28,286.55,287.99,280.42,282.13,2776778
2019-08-29,285.71,287.7,283.61,286.63,2172535
2019-08-30,287.41,288.5,280.11,284.51,2373297
2019-09-03,284.25,287.46,281.4,282.45,1838081
2019-09-04,286.04,286.24,282.46,284.6,1516136
2019-09-05,287.83,288.01,281.52,287.75,2836385
2019-09-06,288.2,289.59,283.96,284.94,2273061
2019-09-09,286.52,286.93,276.6,279.3,3134613
2019-09-10,277.58,277.58,272.34,276.14,4098222
2019-09-11,277.66,280.3,274.0,277.78,2593970
2019-09-12,281.0,282.28,277.94,278.02,2955024
2019-09-13,278.22,280.28,276.32,278.35,2948590
