date,open,high,low,close,volume
2019-08-16,166.82,168.06,166.42,167.02,1459567
2019-08-19,169.03,169.38,167.55,168.96,1124955
2019-08-20,168.59,169.79,167.64,167.88,1143408
2019-08-21,168.89,169.69,168.43,169.69,1235084
2019-08-22,169.55,170.7,167.29,169.53,1174367
2019-08-23,169.06,170.17,164.19,164.8,1685091
2019-08-26,166.65,166.97,164.98,166.81,1197450
2019-08-27,168.14,168.14,166.08,166.85,1595204
2019-08-28,165.95,167.49,164.72,167.22,1532148
2019-08-29,169.31,170.81,168.76,169.44,1186790
2019-08-30,170.71,170.92,169.03,169.84,1586245
2019-09-03,167.75,169.5,166.6,167.21,1528185
2019-09-04,168.53,170.09,168.5,169.71,1359862
2019-09-05,171.15,173.54,170.8,173.27,1742662
2019-09-06,173.74,174.5,173.02,173.25,4866009
2019-09-09,173.56,173.69,167.13,168.05,1670167
2019-09-10,166.94,168.03,161.61,164.33,2010177
2019-09-11,163.14,164.91,160.4,161.14,2659359
2019-09-12,161.16,162.79,160.15,160.41,2209223
2019-09-13,161.04,161.59,158.95,159.74,1906949
