date,open,high,low,close,volume
2019-08-16,19.76,19.8,19.76,19.76,4226
2019-08-19,19.95,19.95,19.95,19.95,4200
2019-08-20,0.0,0.0,0.0,19.95,0
2019-08-21,20.0,20.0,20.0,20.0,2316
2019-08-22,19.9,19.92,19.9,19.92,972
2019-08-23,0.0,0.0,0.0,19.92,50
2019-08-26,19.71,19.8,19.71,19.8,999
2019-08-27,19.86,19.86,19.86,19.86,206
2019-08-28,0.0,0.0,0.0,19.86,49
2019-08-29,19.98,20.02,19.95,20.02,1155
2019-08-30,20.11,20.11,20.11,20.11,1210
2019-09-03,20.04,20.04,19.98,19.98,2423
2019-09-04,0.0,0.0,0.0,19.98,0
2019-09-05,20.35,20.35,20.34,20.34,1118
2019-09-06,20.35,20.35,20.35,20.35,1000
2019-09-09,0.0,0.0,0.0,20.35,0
2019-09-10,20.3,20.3,20.3,20.3,110
2019-09-11,0.0,0.0,0.0,20.3,0
2019-09-12,20.59,20.63,20.57,20.63,2708
2019-09-13,0.0,0.0,0.0,20.63,0
