date,open,high,low,close,volume
2019-08-16,146.86,147.41,138.6,138.69,4969753
2019-08-19,138.85,139.75,135.71,136.54,1480793
2019-08-20,136.2,136.2,130.63,130.75,1641524
2019-08-21,137.0,139.96,135.0,138.07,2429292
2019-08-22,138.58,139.11,135.34,135.53,1080156
2019-08-23,134.69,136.41,129.94,130.58,1982466
2019-08-26,131.79,131.79,126.8,127.47,1376019
2019-08-27,127.64,127.86,121.85,122.08,1402486
2019-08-28,121.26,123.31,120.77,122.24,893872
2019-08-29,122.68,124.09,122.45,122.75,1226452
2019-08-30,123.34,124.16,122.08,122.95,709172
2019-09-03,122.7,122.92,118.4,122.05,1475780
2019-09-04,122.89,123.36,120.22,123.33,1589108
2019-09-05,124.74,127.84,124.66,126.99,826441
2019-09-06,127.22,127.86,125.94,125.96,632570
2019-09-09,127.07,130.12,126.85,129.03,776807
2019-09-10,128.83,132.36,128.57,132.28,1050762
2019-09-11,134.89,135.47,131.69,135.37,898963
2019-09-12,135.41,135.89,132.82,134.69,625165
2019-09-13,136.06,137.29,133.56,133.73,580836
